listing_date,season,address,list_price,original_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,sqft,lot_size,latitude,longitude,neighborhood,region
2025-05-27,Spring,,399900,399900,399900,RD,2,2,7,1985.0,double_detachedached,867.0,,0.0,0.0,River Park South,River Park South
2025-05-27,Spring,"127 Seaside Drive , Winnipeg R2J 3V1",577500,577500,577500,RD,3,4,29,2013.0,double_attachedached,1527.0,,0.0,0.0,Waterside Estates,Waterside Estates
2025-05-27,Spring,,399999,399999,399999,RD,3,2,6,1964.0,double_detachedached,1120.0,6350.0,0.0,0.0,Windsor Park,Windsor Park
2025-05-27,Spring,,389900,389900,389900,RD,3,2,7,1962.0,none,1080.0,5773.0,0.0,0.0,Windsor Park,Windsor Park
2025-05-27,Spring,,349900,349900,349900,RD,3,2,7,1955.0,single_detachedached,903.0,5494.0,0.0,0.0,Windsor Park,Windsor Park
2025-05-27,Spring,,649900,649900,649900,RD,4,4,9,1986.0,double_attachedached,2057.0,7562.0,0.0,0.0,Southdale,Southdale
2025-05-27,Spring,"166 Edgemont Drive , Winnipeg R2J 3H9",549900,549900,549900,RD,4,4,11,1976.0,double_attachedached,1802.0,6300.0,0.0,0.0,Southdale,Southdale
2025-05-27,Spring,"106 Cliffwood Drive , Winnipeg R2J 3N3",549900,549900,549900,RD,4,3,7,1981.0,double_attachedached,1930.0,6161.0,0.0,0.0,Southdale,Southdale
2025-05-27,Spring,"106 Evelyne Reese Boulevard , Winnipeg R3X 2G9",469900,469900,469900,TH,3,3,43,2017.0,none,1462.0,,0.0,0.0,Bonavista,Bonavista
2025-05-27,Spring,"176 Evelyne Reese Boulevard , Winnipeg R3X 0P2",489000,489000,489000,TH,3,3,62,2021.0,single_detachedached,1492.0,,0.0,0.0,Bonavista,Bonavista
2025-05-27,Spring,,489900,489900,489900,RD,3,3,9,1986.0,double_attachedached,1460.0,5172.0,0.0,0.0,Island Lakes,Island Lakes
2025-05-27,Spring,,639900,639900,639900,RD,3,3,8,2007.0,double_attachedached,1509.0,4759.0,0.0,0.0,Royalwood,Royalwood
2025-05-27,Spring,,474900,474900,474900,RD,2,2,8,2005.0,double_attachedached,1219.0,5759.0,0.0,0.0,Island Lakes,Island Lakes
2025-05-27,Spring,,749900,749900,749900,RD,3,3,7,2009.0,double_attachedached,1741.0,13812.0,0.0,0.0,Royalwood,Royalwood
2025-05-27,Spring,,674900,674900,674900,RD,3,2,28,1998.0,double_attachedached,1807.0,6492.0,0.0,0.0,Royalwood,Royalwood
2025-05-27,Spring,,549900,549900,549900,RD,3,2,7,2010.0,double_attachedached,1575.0,,0.0,0.0,Sage Creek,Sage Creek
2025-05-27,Spring,"434 William Newton Avenue , Winnipeg R2L 0W5",269900,269900,269900,RD,3,3,6,1907.0,none,1400.0,3076.0,0.0,0.0,Elmwood,Elmwood
2025-05-27,Spring,"447 tweed Avenue , Winnipeg R2L 0W1",154900,154900,154900,RD,2,1,32,1907.0,none,600.0,,0.0,0.0,Elmwood,Elmwood
