listing_date,season,mls_number,neighborhood,address,list_price,sold_price,sell_list_ratio,dom,bedrooms,bathrooms,garage_type,house_type,sqft
2025-06-22,Summer,unknown,Address,764 Home Street,0.0,0.0,0.0,0,3,2.0,"detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,427 Home Street,0.0,0.0,0.0,35,3,3.0,"carport, detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,472 Arlington Street,0.0,0.0,0.0,0,2,1.5,"detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,358 Agnes Street,0.0,0.0,0.0,0,2,2.0,"detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,260 Langside Street,0.0,0.0,0.0,33,8,4.0,"carport, detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,507 Sherbrook Street,0.0,0.0,0.0,0,4,3.0,"detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,420 Agnes Street,0.0,0.0,0.0,0,4,2.0,"carport, detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,387 Arlington Street,0.0,0.0,0.0,0,2,1.0,"detached, rear drive, single, unpaved",Living Area,0
2025-06-22,Summer,unknown,Address,526 Clifton Street,0.0,0.0,0.0,0,4,2.5,"attached, detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,509 Greenwood Place,0.0,0.0,0.0,0,2,1.5,"attached, detached, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,460 Greenwood Place,0.0,0.0,0.0,0,4,2.0,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,109 Lipton Street,0.0,0.0,0.0,0,3,1.5,"detached, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,51 Dundurn Place,0.0,0.0,0.0,0,3,2.5,"detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,144 Evanson Street,0.0,0.0,0.0,0,3,2.5,"detached, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,46 Dundurn Place,0.0,0.0,0.0,0,4,2.0,"attached, detached, double, single",Living Area,0
2025-06-22,Summer,unknown,Address,517 Raglan Road,0.0,0.0,0.0,0,3,1.5,"attached, detached, double, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,60 Walnut Street,0.0,0.0,0.0,0,3,2.0,"detached, pad, rear drive, single, unpaved",Living Area,0
2025-06-22,Summer,unknown,Address,509 Camden Place,0.0,0.0,0.0,0,3,1.0,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,126 Evanson Street,0.0,0.0,0.0,0,4,2.5,"detached, double, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1241 Dominion Street,0.0,0.0,0.0,0,3,1.5,"carport, detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,899 Goulding Street,0.0,0.0,0.0,0,2,1.0,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,624 Spruce Street,0.0,0.0,0.0,0,2,1.0,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,870 Valour Road,0.0,0.0,0.0,0,2,1.5,"carport, detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,753 Garfield Street,0.0,0.0,0.0,0,4,2.0,"carport, detached, plug-in, single",Living Area,0
2025-06-22,Summer,unknown,Address,804 Ashburn Street,0.0,0.0,0.0,0,3,1.0,"detached, pad, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,919 ingersoll Street,0.0,0.0,0.0,0,4,1.5,"detached, pad, single",Living Area,0
2025-06-22,Summer,unknown,Address,969 Strathcona Street,0.0,0.0,0.0,0,3,3.0,"detached, double, pad, plug-in, rear drive, single",Living Area,0
2025-06-22,Summer,unknown,Address,1065 Ashburn Street,0.0,0.0,0.0,0,3,2.0,"detached, double, single",Living Area,0
